Cluster 1 - Alle Spieler:

             PLAYER_NAME TEAM_ABBREVIATION  AGE   REB_AVG  AST_AVG  TOV_AVG  STL_AVG  BLK_AVG   PF_AVG  PFD_AVG   PTS_AVG  PLUS_MINUS_AVG  HEIGHT  WEIGHT
      Isaiah Hartenstein               OKC 27.0 10.719298 3.842105 1.684211 0.824561 1.087719 3.000000 1.649123 11.175439        7.315789      84   250.0
              Isaiah Joe               OKC 25.0  2.648649 1.608108 0.513514 0.648649 0.121622 1.527027 1.378378 10.216216        7.432432      75   165.0
               Ja Morant               MEM 25.0  4.100000 7.280000 3.700000 1.220000 0.240000 2.260000 4.980000 23.180000        4.520000      74   174.0
        Jabari Smith Jr.               HOU 22.0  7.000000 1.052632 1.070175 0.438596 0.719298 2.157895 2.105263 12.245614        4.385965      82   220.0
            Jakob Poeltl               TOR 29.0  9.596491 2.771930 1.947368 1.157895 1.245614 3.087719 2.280702 14.456140       -0.649123      84   260.0
           Jalen Johnson               ATL 23.0  9.972222 5.027778 2.944444 1.555556 1.000000 1.861111 2.750000 18.888889        1.527778      80   219.0
            Jalen Wilson               BKN 24.0  3.417722 1.835443 1.000000 0.506329 0.063291 2.075949 1.544304  9.481013       -3.316456      78   220.0
            Jaylen Wells               MEM 21.0  3.392405 1.708861 0.873418 0.556962 0.101266 1.848101 1.898734 10.417722        2.354430      80     NaN
        Jimmy Butler III               GSW 35.0  5.381818 5.418182 1.345455 1.400000 0.327273 0.945455 5.145455 17.527273        4.472727      79   230.0
            John Collins               UTA 27.0  8.175000 2.000000 2.575000 0.975000 1.000000 2.900000 3.875000 18.950000       -0.400000      81   226.0
       Jonas Valančiūnas               SAC 33.0  7.740741 2.024691 1.481481 0.456790 0.567901 2.234568 2.074074 10.407407       -3.753086      83   265.0
            Jordan Poole               WAS 26.0  2.985294 4.455882 3.000000 1.264706 0.397059 2.955882 4.220588 20.455882       -8.205882      76   194.0
            Jrue Holiday               BOS 35.0  4.274194 3.854839 1.241935 1.064516 0.435484 1.629032 1.209677 11.064516        5.467742      76   205.0
       Julian Champagnie               SAS 24.0  3.878049 1.353659 0.902439 0.743902 0.426829 1.390244 0.658537  9.939024       -0.817073      79   217.0
           Kawhi Leonard               LAC 34.0  5.918919 3.135135 1.945946 1.594595 0.459459 1.513514 3.297297 21.513514        8.000000      79   225.0
           Keegan Murray               SAC 24.0  6.671053 1.434211 0.789474 0.802632 0.907895 2.447368 1.039474 12.394737        0.605263      80   225.0
          Keldon Johnson               SAS 25.0  4.818182 1.623377 1.000000 0.636364 0.285714 1.493506 1.818182 12.714286       -2.818182      77   220.0
         Kelly Oubre Jr.               PHI 29.0  6.133333 1.800000 1.333333 1.533333 0.500000 3.000000 2.800000 15.100000       -4.300000      80   203.0
Kentavious Caldwell-Pope               MEM 32.0  2.194805 1.766234 0.805195 1.285714 0.441558 1.766234 1.363636  8.740260        0.142857      77   204.0
              Keon Ellis               SAC 25.0  2.650000 1.500000 0.887500 1.512500 0.787500 2.200000 1.175000  8.325000        0.800000      76   175.0
            Keon Johnson               BKN 23.0  3.759494 2.215190 1.468354 1.037975 0.379747 2.645570 1.518987 10.620253       -5.354430      77   185.0
           Kevin Huerter               CHI 26.0  2.971014 2.260870 0.971014 0.956522 0.333333 1.753623 0.623188  9.869565        1.507246      79   198.0
        Kevin Porter Jr.               MIL 25.0  3.706667 3.413333 1.813333 1.080000 0.173333 1.586667 1.933333 10.280000        0.360000      76   203.0
          Keyonte George               UTA 21.0  3.776119 5.626866 2.731343 0.686567 0.134328 1.656716 3.388060 16.791045       -7.641791      76   185.0
           Klay Thompson               DAL 35.0  3.416667 2.013889 1.222222 0.694444 0.416667 1.125000 0.708333 13.958333       -1.097222      77   220.0
               Kris Dunn               LAC 31.0  3.391892 2.837838 1.000000 1.729730 0.364865 2.662162 0.486486  6.405405        3.540541      75   205.0
      Kristaps Porziņģis               BOS 29.0  6.761905 2.071429 1.261905 0.738095 1.500000 2.761905 5.095238 19.476190        4.119048      86   240.0
         Kyle Filipowski               UTA 21.0  6.111111 1.944444 1.416667 0.666667 0.305556 2.375000 1.736111  9.583333       -5.083333      83   250.0
              Kyle Kuzma               MIL 29.0  5.692308 2.338462 2.246154 0.553846 0.292308 1.830769 2.446154 14.830769       -6.446154      81   221.0
            Kyrie Irving               DAL 33.0  4.800000 4.620000 2.220000 1.320000 0.460000 2.020000 3.280000 24.680000        2.480000      74   195.0
          Kyshawn George               WAS 21.0  4.191176 2.485294 1.426471 1.000000 0.735294 2.955882 1.367647  8.676471       -5.308824      80   200.0
             LaMelo Ball               CHA 23.0  4.936170 7.361702 3.553191 1.148936 0.276596 3.340426 4.702128 25.191489       -2.765957      79   180.0
         Lauri Markkanen               UTA 28.0  5.914894 1.489362 1.404255 0.702128 0.361702 1.680851 3.382979 18.978723       -3.957447      84   240.0
           Luguentz Dort               OKC 26.0  4.126761 1.619718 0.718310 1.112676 0.549296 2.929577 1.521127 10.126761        7.704225      76   220.0
           Malik Beasley               DET 28.0  2.609756 1.695122 1.012195 0.890244 0.060976 1.524390 1.317073 16.292683        2.134146      76   187.0
              Malik Monk               SAC 27.0  3.769231 5.569231 2.446154 0.938462 0.584615 2.430769 2.292308 17.184615        1.784615      75   200.0
           Matas Buzelis               CHI 20.0  3.475000 0.987500 0.925000 0.362500 0.937500 1.600000 1.000000  8.600000       -0.437500      82   209.0
            Max Christie               DAL 22.0  3.307692 1.871795 1.128205 0.820513 0.397436 1.474359 1.448718  9.602564       -1.064103      77   190.0
             Mike Conley               MIN 37.0  2.563380 4.492958 1.056338 1.112676 0.197183 1.563380 1.408451  8.197183        3.732394      72   175.0
