Cluster 2 - Alle Spieler:

 AGE  OFF_RATING_Advanced  DEF_RATING_Advanced  NET_RATING_Advanced  E_TOV_PCT_Advanced  EFG_PCT_Advanced  USG_PCT_Advanced  PACE_Advanced  PIE_Advanced  POSS_Advanced  USG_PCT_Usage  PCT_FGM_Usage  PCT_FG3M_Usage  PCT_FTM_Usage  PCT_OREB_Usage  PCT_DREB_Usage  PCT_AST_Usage  PCT_TOV_Usage  PCT_STL_Usage  PCT_BLK_Usage  PCT_PF_Usage  PCT_PFD_Usage  PCT_PTS_2PT_Scoring  PCT_PTS_2PT_MR_Scoring  PCT_PTS_3PT_Scoring  PCT_PTS_FB_Scoring  PCT_PTS_FT_Scoring  OPP_PTS_OFF_TOV_Defense  OPP_PTS_2ND_CHANCE_Defense  OPP_PTS_FB_Defense  OPP_PTS_PAINT_Defense  DEF_WS_Defense  DEF_WS_RAW_Defense
25.0                 99.1                 96.7                  2.3                 3.5             0.333             0.207         100.16         0.025            422          0.207          0.163           0.200          0.024           0.140           0.127          0.122          0.071          0.211          0.158         0.234          0.022                0.338                   0.154                0.646               0.092               0.016                       57                          58                  45                    168            1.51            1.507267
23.0                104.2                122.2                -18.1                11.1             0.571             0.145         103.82         0.078             48          0.145          0.211           0.000          0.000           0.833           0.071          0.083          0.167          0.000          0.000         0.143          0.125                1.000                   0.000                0.000               0.000               0.000                       13                           7                   7                     16            0.00            0.003292
24.0                 99.6                106.3                 -6.7                10.0             0.567             0.115         102.63         0.065            266          0.115          0.122           0.233          0.077           0.290           0.170          0.081          0.121          0.238          0.000         0.222          0.034                0.111                   0.056                0.833               0.250               0.056                       32                          38                  38                    116            0.61            0.605279
32.0                101.4                118.9                -17.5                15.6             0.524             0.101         101.55         0.057            798          0.101          0.107           0.017          0.085           0.458           0.225          0.205          0.187          0.176          0.512         0.324          0.146                0.811                   0.027                0.081               0.054               0.108                      135                         134                 111                    352            0.44            0.436095
26.0                117.3                111.8                  5.5                 8.7             0.620             0.123         104.64         0.079            468          0.123          0.130           0.217          0.113           0.231           0.250          0.041          0.109          0.244          0.333         0.304          0.119                0.289                   0.026                0.592               0.118               0.119                       51                          78                  63                    222            0.73            0.726569
26.0                171.4                 85.7                 85.7                 0.0             1.250             0.286          90.40         0.400              7          0.286          0.400           0.500          0.000           0.000           0.000          0.500          0.000          0.000          0.000         0.000          0.000                0.400                   0.000                0.600               0.000               0.000                        2                           4                   2                      4            0.04            0.036245
32.0                101.9                109.7                 -7.8                 7.4             0.545             0.124         101.23         0.071            835          0.124          0.137           0.115          0.243           0.198           0.184          0.083          0.080          0.136          0.059         0.203          0.237                0.512                   0.000                0.233               0.147               0.255                      167                         147                 143                    348            1.48            1.480042
24.0                103.9                119.2                -15.3                15.4             0.444             0.193         111.52         0.033             51          0.193          0.200           0.000          0.000           0.333           0.182          0.154          0.200          0.333          0.000         0.250          0.000                1.000                   0.250                0.000               0.000               0.000                       14                           8                   4                     34            0.03            0.025903
23.0                 97.6                110.1                -12.4                30.6             0.677             0.113         102.57         0.048            462          0.113          0.126           0.000          0.078           0.378           0.227          0.110          0.253          0.037          0.577         0.395          0.155                0.875                   0.000                0.000               0.125               0.125                      100                          66                  66                    224            0.83            0.834395
22.0                 81.9                119.3                -37.3                11.5             0.316             0.153         102.24         0.027            144          0.153          0.136           0.000          0.091           0.133           0.333          0.038          0.136          0.333          0.333         0.261          0.172                0.857                   0.000                0.000               0.357               0.143                       28                          23                  30                     80            0.07            0.068170
