TEAM_ABBREVIATION,Rebounder/Big,Playmaker,3&D/Stretch,Two-Way,Offensive,Defensive,Other
ATL,0.0,36.03947368421053,0.0,100.09899515579995,0.0,73.8470434070434,39.14058712631295
BKN,0.0,25.517241379310345,0.0,143.63841692839694,0.0,47.11249137336094,25.70886075949367
BOS,0.0,36.44444444444444,0.0,145.73437008432853,0.0,13.919354838709678,57.10422535211268
CHA,0.0,32.0,0.0,101.97656528520498,0.0,83.66973681891096,20.73333333333333
CHI,0.0,30.242857142857144,15.03125,117.43309383870172,0.0,58.118562889290736,0.0
CLE,0.0,50.56571428571429,0.0,61.95774647887324,0.0,73.6875,60.098187894702576
DAL,0.0,27.037974683544306,0.0,87.17342927185436,27.291666666666668,92.2017543859649,0.0
DEN,0.0,64.62190476190476,0.0,48.42883795309169,0.0,68.88036733680813,83.32479677185559
DET,0.0,63.095238095238095,27.841463414634145,68.50206431986093,0.0,63.69830542871638,27.96103896103896
GSW,0.0,29.16176470588235,0.0,149.91122886027387,0.0,45.00329597890573,0.0
HOU,0.0,66.69649122807016,0.0,102.90816174252643,0.0,24.912280701754387,61.945263157894736
IND,0.0,80.41149777914127,0.0,48.49333333333333,0.0,94.1895377828922,19.52380952380953
LAC,0.0,57.26458178207992,0.0,49.05755755755756,0.0,101.98751685472998,41.80341880341881
LAL,0.0,70.2942857142857,19.153846153846157,57.859043081199125,0.0,80.06883911756793,21.20833333333333
MEM,0.0,39.721707916115626,11.6875,48.184615384615384,0.0,99.73564737627237,25.860759493670887
MIA,0.0,27.39189189189189,0.0,187.56654904226625,0.0,46.786317567567565,0.0
MIL,0.0,90.01038600102933,0.0,59.05433819911432,0.0,52.65608108108108,54.55102739726027
MIN,0.0,35.26300661109514,0.0,119.78635532844578,0.0,98.54471544715447,0.0
NOP,0.0,24.392857142857142,0.0,111.58827493261455,0.0,79.4005811540058,23.589285714285715
NYK,0.0,57.758401084010835,0.0,99.53839186727906,0.0,107.29221669037459,0.0
OKC,0.0,66.60450038138825,0.0,101.37025071915367,0.0,22.94736842105263,50.87285877426723
ORL,0.0,56.14882943143813,0.0,92.22389355742297,0.0,15.352112676056338,47.28305374339857
PHI,0.0,102.77523452157598,0.0,43.96328767123288,0.0,103.55821018062397,0.0
PHX,0.0,64.10617283950617,0.0,134.83136651258684,0.0,58.23668275695886,0.0
POR,0.0,43.367933061962916,0.0,94.0345238095238,0.0,73.75734787600459,15.07246376811594
SAC,0.0,31.6,8.142857142857142,145.06442286442285,0.0,43.91521739130435,34.3421052631579
SAS,0.0,75.87224287148322,0.0,82.93499228395062,0.0,58.595039906115474,27.195121951219512
TOR,0.0,52.39076923076923,34.90101694915254,82.21578371215395,0.0,77.77230235042735,0.0
UTA,0.0,85.2688569226303,0.0,29.627260981912144,0.0,101.41701940365598,21.2
WAS,0.0,52.21025437201908,0.0,129.7723139794398,0.0,21.62903225806452,34.06621665059466
