TEAM_ABBREVIATION,Rebounder/Big,Playmaker,3&D/Stretch,Two-Way,Offensive,Defensive,Other
ATL,70.37818768565037,78.99451754385966,119.98146431929541,103.56785087719298,36.03947368421053,49.27371007371008,60.24506473825325
BKN,112.88820565907523,0.0,150.49243539535394,88.77432998690529,31.57894736842105,73.99820565907523,47.62552742616034
BOS,134.9882800608828,30.580645161290324,120.40459084918871,135.1474789123346,28.3875,67.96319045514804,21.70422535211268
CHA,117.37210519130828,20.84313725490196,102.1374387254902,111.15989861853832,22.816666666666663,88.78542309342077,15.617647058823527
CHI,105.96040146832966,15.265625,72.47269144144144,91.74521159491195,33.108108108108105,95.97244416782954,0.0
CLE,79.74146574361423,0.0,128.92222837022132,112.52346076458753,27.1875,87.45273334924804,19.145454545454545
DAL,136.19367218683414,37.05615650172612,43.203947368421055,119.80789518346884,43.203947368421055,43.42375168690958,27.26923076923077
DEN,149.67573083778964,27.89333333333333,118.93513332438705,134.3867816760354,28.37254901960784,47.35889355742297,55.13768257059397
DET,150.73560784381542,0.0,107.32440713757786,63.095238095238095,27.841463414634145,115.70703641524399,44.45437229437229
GSW,146.90156499472764,55.97426470588235,77.1747245503343,87.7197192513369,54.89094076655052,67.85848667003167,13.607142857142858
HOU,143.77442604608626,80.20390369331463,112.68777078415945,123.85514874141876,45.66443745082612,55.10261063800084,31.84
IND,142.68287111622553,28.93846153846154,99.139716972044,192.67679313779104,0.0,30.417575757575758,19.52380952380953
LAC,126.61876530347656,71.01834187128304,134.70351256806953,114.15917637667451,57.59629629629629,54.07982454703767,24.27777777777778
LAL,158.62399439707104,22.927536231884055,110.67368633649457,78.55515527950311,68.7520196698279,40.72619047619047,60.550981974710794
MEM,95.67670631733131,43.94995131450828,133.9751096503718,81.23353224043996,22.646153846153847,95.44978459040959,25.860759493670887
MIA,124.35430351752073,90.45164412736133,116.13099552474553,102.13555351752073,112.82288741663741,46.786317567567565,0.0
MIL,130.16066016073478,14.642857142857142,111.46831537489308,134.43785852850186,0.0,99.10794675272287,22.726027397260275
MIN,130.80558501237186,86.4467202224248,114.47739232454752,120.92710198276414,61.62225995677678,71.04471544715447,0.0
NOP,84.6505811540058,44.64285714285714,130.67756064690028,103.26684636118598,71.30357142857143,64.4005811540058,0.0
NYK,93.10802574618364,84.87240270738747,164.2614717003589,141.25941471939947,87.56327913279132,20.526315789473685,15.24
OKC,139.0690790219749,47.172514619883046,73.82022719531986,113.7770150012713,22.94736842105263,54.19773609927063,50.87285877426723
ORL,127.29252797260975,56.846593406593406,90.94272863568216,122.5197818123905,0.0,41.20505385252692,47.28305374339857
PHI,153.80808321771053,0.0,131.59218072939422,129.61523452157599,0.0,120.68149785185685,0.0
PHX,136.82984172237587,26.839506172839503,168.31081829140967,95.48497178452544,37.266666666666666,124.42258365785975,0.0
POR,109.99754668685557,0.0,107.38856798259783,73.3818219508518,64.02063492063492,64.91119402985075,23.918617614269785
SAC,127.861531408671,20.439393939393938,153.16234195948155,105.55420875420876,71.11021411021412,78.25732265446224,8.142857142857142
SAS,87.48844550683815,39.72708158116064,129.0495682775277,141.8906821678426,26.69135802469136,25.25925925925926,50.75609756097561
TOR,153.49809140446163,39.972698412698406,144.89745723061438,151.84655294292318,29.38888888888889,48.38341346153846,17.661016949152543
UTA,51.138888888888886,25.901408450704224,102.87970597082017,114.95782332886206,62.866941886313114,38.48837209302326,21.2
WAS,89.52452984490598,62.99255890863993,82.18876567020251,112.30183039023309,29.97560975609756,61.334160463192724,34.06621665059466
