Cluster 0 - Alle Spieler:

 PCT_OREB  PCT_DREB  PCT_AST  PCT_TOV  PCT_STL  PCT_BLK  PCT_PTS
    0.127     0.196    0.109    0.185    0.103    0.093    0.182
    0.183     0.147    0.078    0.148    0.131    0.189    0.209
    0.193     0.142    0.154    0.109    0.194    0.106    0.155
    0.091     0.169    0.220    0.134    0.167    0.218    0.153
    0.070     0.129    0.122    0.114    0.174    0.158    0.179
    0.158     0.155    0.137    0.122    0.120    0.029    0.170
    0.164     0.195    0.184    0.171    0.153    0.084    0.187
    0.114     0.171    0.076    0.064    0.188    0.079    0.163
    0.121     0.090    0.110    0.116    0.243    0.084    0.122
    0.088     0.121    0.114    0.097    0.186    0.070    0.191
    0.041     0.123    0.212    0.190    0.086    0.050    0.203
    0.149     0.134    0.092    0.107    0.197    0.263    0.136
    0.255     0.126    0.062    0.082    0.210    0.180    0.134
    0.165     0.120    0.175    0.164    0.267    0.129    0.143
    0.121     0.121    0.138    0.097    0.215    0.114    0.146
    0.109     0.181    0.092    0.155    0.151    0.078    0.247
    0.189     0.108    0.110    0.084    0.177    0.163    0.126
    0.095     0.156    0.129    0.149    0.183    0.149    0.150
    0.102     0.150    0.132    0.167    0.163    0.124    0.216
    0.373     0.211    0.136    0.077    0.217    0.098    0.157
    0.163     0.164    0.114    0.110    0.190    0.149    0.176
    0.054     0.127    0.102    0.130    0.167    0.116    0.177
    0.090     0.104    0.111    0.117    0.196    0.019    0.241
    0.136     0.212    0.123    0.183    0.226    0.131    0.179
    0.036     0.112    0.105    0.073    0.112    0.032    0.164
    0.182     0.189    0.095    0.133    0.152    0.092    0.152
    0.103     0.171    0.120    0.166    0.203    0.132    0.206
    0.129     0.123    0.095    0.117    0.173    0.207    0.185
    0.111     0.121    0.112    0.120    0.147    0.070    0.189
    0.057     0.108    0.204    0.154    0.141    0.120    0.183
    0.210     0.199    0.110    0.220    0.131    0.097    0.223
    0.175     0.164    0.115    0.066    0.180    0.116    0.113
    0.224     0.132    0.058    0.115    0.212    0.193    0.174
    0.150     0.161    0.216    0.139    0.328    0.173    0.113
    0.087     0.109    0.092    0.077    0.133    0.043    0.177
    0.051     0.122    0.114    0.181    0.188    0.051    0.277
    0.077     0.142    0.198    0.195    0.169    0.087    0.181
    0.121     0.185    0.083    0.084    0.115    0.068    0.205
    0.067     0.070    0.125    0.094    0.217    0.090    0.129
    0.245     0.136    0.092    0.110    0.192    0.151    0.124
    0.156     0.122    0.111    0.104    0.125    0.035    0.159
    0.065     0.094    0.125    0.094    0.240    0.125    0.135
    0.056     0.121    0.171    0.168    0.142    0.047    0.203
    0.190     0.144    0.113    0.104    0.210    0.274    0.116
    0.126     0.164    0.195    0.174    0.130    0.109    0.184
    0.096     0.163    0.132    0.137    0.232    0.063    0.126
    0.066     0.111    0.089    0.089    0.254    0.027    0.179
    0.071     0.126    0.127    0.090    0.141    0.048    0.136
    0.118     0.151    0.198    0.163    0.149    0.163    0.156
    0.077     0.156    0.096    0.148    0.136    0.148    0.204
    0.111     0.107    0.105    0.140    0.179    0.065    0.205
    0.105     0.095    0.173    0.161    0.147    0.176    0.197
    0.159     0.147    0.105    0.142    0.243    0.281    0.205
    0.126     0.108    0.213    0.104    0.221    0.113    0.159
    0.070     0.102    0.066    0.105    0.181    0.031    0.162
    0.214     0.176    0.133    0.166    0.156    0.098    0.205
    0.117     0.136    0.129    0.095    0.155    0.051    0.184
    0.192     0.140    0.100    0.106    0.174    0.150    0.136
    0.169     0.121    0.173    0.139    0.284    0.148    0.122
    0.189     0.171    0.143    0.116    0.111    0.090    0.152
    0.117     0.114    0.134    0.155    0.108    0.113    0.178
    0.106     0.115    0.093    0.056    0.169    0.065    0.144
    0.137     0.141    0.238    0.105    0.260    0.071    0.128
    0.190     0.209    0.163    0.159    0.151    0.100    0.186
    0.188     0.157    0.112    0.155    0.216    0.157    0.167
    0.182     0.156    0.119    0.165    0.195    0.121    0.153
    0.137     0.116    0.112    0.136    0.364    0.332    0.143
    0.038     0.078    0.037    0.064    0.091    0.067    0.181
    0.196     0.139    0.102    0.082    0.108    0.056    0.189
    0.151     0.189    0.094    0.136    0.183    0.144    0.176
    0.243     0.217    0.120    0.144    0.144    0.107    0.227
    0.155     0.149    0.095    0.095    0.209    0.196    0.170
    0.128     0.180    0.086    0.076    0.104    0.128    0.180
    0.117     0.142    0.101    0.164    0.198    0.068    0.211
    0.155     0.168    0.102    0.080    0.211    0.095    0.197
    0.113     0.114    0.111    0.118    0.161    0.162    0.098
    0.173     0.196    0.089    0.125    0.173    0.120    0.256
    0.179     0.163    0.191    0.122    0.308    0.148    0.132
    0.064     0.181    0.282    0.174    0.146    0.079    0.149
    0.101     0.130    0.117    0.116    0.115    0.090    0.189
    0.225     0.151    0.195    0.191    0.240    0.186    0.166
    0.198     0.184    0.083    0.080    0.136    0.059    0.152

--- Medianwerte ---
PCT_OREB: 0.1265
PCT_DREB: 0.142
PCT_AST: 0.114
PCT_TOV: 0.121
PCT_STL: 0.174
PCT_BLK: 0.108
PCT_PTS: 0.175
