Cluster 1 - Alle Spieler:

 PCT_OREB  PCT_DREB  PCT_AST  PCT_TOV  PCT_STL  PCT_BLK  PCT_PTS
    0.435     0.319    0.132    0.135    0.158    0.308    0.192
    0.524     0.361    0.084    0.123    0.139    0.408    0.174
    0.382     0.304    0.166    0.142    0.205    0.541    0.183
    0.181     0.238    0.107    0.148    0.244    0.184    0.190
    0.530     0.308    0.192    0.223    0.268    0.452    0.196
    0.178     0.210    0.078    0.137    0.152    0.250    0.192
    0.487     0.208    0.164    0.093    0.177    0.486    0.134
    0.399     0.264    0.104    0.175    0.128    0.438    0.154
    0.212     0.240    0.139    0.123    0.159    0.283    0.133
    0.221     0.185    0.101    0.131    0.154    0.212    0.089
    0.471     0.322    0.095    0.150    0.220    0.348    0.151
    0.150     0.282    0.229    0.220    0.149    0.232    0.284
    0.219     0.252    0.131    0.132    0.142    0.143    0.140
    0.417     0.416    0.200    0.287    0.245    0.410    0.193
    0.489     0.376    0.166    0.203    0.201    0.495    0.256
    0.168     0.194    0.087    0.153    0.134    0.419    0.187
    0.396     0.327    0.178    0.169    0.175    0.261    0.240
    0.286     0.281    0.378    0.306    0.253    0.222    0.196
    0.438     0.371    0.119    0.133    0.112    0.358    0.224
    0.408     0.266    0.194    0.205    0.169    0.333    0.179
    0.138     0.165    0.133    0.173    0.181    0.232    0.150
    0.396     0.354    0.113    0.154    0.182    0.386    0.186
    0.343     0.322    0.182    0.244    0.164    0.523    0.237
    0.187     0.192    0.086    0.092    0.267    0.238    0.119
    0.181     0.224    0.105    0.067    0.180    0.180    0.101
    0.534     0.269    0.120    0.174    0.127    0.590    0.235
    0.196     0.276    0.130    0.216    0.212    0.247    0.188
    0.416     0.202    0.226    0.107    0.188    0.420    0.090
    0.412     0.381    0.187    0.234    0.224    0.526    0.317
    0.223     0.220    0.095    0.138    0.119    0.143    0.212
    0.132     0.158    0.093    0.113    0.170    0.451    0.138
    0.241     0.123    0.067    0.073    0.258    0.437    0.133
    0.488     0.382    0.157    0.179    0.157    0.314    0.133
    0.242     0.164    0.169    0.166    0.096    0.121    0.199
    0.557     0.379    0.183    0.213    0.163    0.416    0.186
    0.118     0.224    0.128    0.119    0.203    0.217    0.180
    0.413     0.258    0.163    0.153    0.138    0.594    0.131
    0.324     0.210    0.181    0.199    0.386    0.274    0.186
