Cluster 1 - Alle Spieler:

 PCT_OREB  PCT_DREB  PCT_AST  PCT_TOV  PCT_STL  PCT_BLK  PCT_PTS
    0.487     0.338    0.185    0.127    0.223    0.363    0.128
    0.165     0.251    0.299    0.293    0.244    0.332    0.127
    0.229     0.212    0.143    0.140    0.267    0.162    0.180
    0.484     0.282    0.174    0.148    0.134    0.365    0.184
    0.295     0.191    0.170    0.199    0.169    0.161    0.122
    0.374     0.307    0.308    0.300    0.206    0.257    0.254
    0.284     0.244    0.241    0.225    0.241    0.346    0.184
    0.532     0.283    0.184    0.202    0.177    0.346    0.118
    0.200     0.230    0.075    0.122    0.096    0.232    0.172
    0.268     0.239    0.117    0.149    0.351    0.336    0.200
    0.246     0.165    0.164    0.124    0.226    0.119    0.135
    0.185     0.263    0.133    0.154    0.176    0.151    0.219
    0.284     0.233    0.168    0.169    0.153    0.155    0.256
    0.247     0.252    0.085    0.214    0.159    0.548    0.213
    0.417     0.268    0.097    0.114    0.159    0.427    0.188
    0.536     0.383    0.146    0.156    0.104    0.404    0.213
    0.165     0.173    0.128    0.084    0.209    0.247    0.099
    0.382     0.323    0.143    0.161    0.105    0.520    0.164
    0.240     0.271    0.458    0.307    0.207    0.240    0.100
    0.223     0.164    0.080    0.093    0.158    0.149    0.174
    0.406     0.242    0.099    0.135    0.178    0.451    0.148
    0.458     0.225    0.205    0.187    0.176    0.512    0.091
    0.159     0.199    0.120    0.220    0.229    0.409    0.293
    0.513     0.298    0.081    0.177    0.165    0.509    0.170
    0.216     0.278    0.179    0.135    0.165    0.169    0.191
    0.425     0.234    0.089    0.107    0.208    0.250    0.174
    0.178     0.182    0.083    0.127    0.123    0.523    0.237
    0.352     0.307    0.233    0.217    0.220    0.280    0.235
    0.420     0.356    0.075    0.132    0.174    0.477    0.181
    0.215     0.219    0.270    0.121    0.213    0.351    0.161
    0.274     0.153    0.104    0.122    0.133    0.565    0.170
    0.339     0.168    0.161    0.197    0.218    0.125    0.100
    0.375     0.387    0.342    0.342    0.169    0.333    0.359
    0.150     0.229    0.153    0.243    0.124    0.118    0.219
    0.205     0.186    0.120    0.124    0.255    0.272    0.165
    0.189     0.257    0.147    0.169    0.164    0.304    0.215
    0.460     0.310    0.100    0.121    0.141    0.406    0.156
    0.207     0.175    0.108    0.107    0.313    0.545    0.189
    0.478     0.279    0.097    0.134    0.109    0.462    0.152
    0.340     0.252    0.131    0.125    0.191    0.064    0.150
    0.278     0.241    0.247    0.259    0.206    0.247    0.187
    0.344     0.272    0.104    0.160    0.163    0.432    0.177
    0.252     0.303    0.272    0.201    0.248    0.123    0.151
    0.395     0.423    0.146    0.290    0.174    0.281    0.282
    0.351     0.289    0.090    0.130    0.219    0.416    0.141
    0.244     0.222    0.156    0.143    0.195    0.088    0.154
    0.453     0.383    0.238    0.229    0.147    0.343    0.160
    0.170     0.171    0.225    0.142    0.341    0.214    0.146
    0.248     0.236    0.193    0.185    0.143    0.080    0.106
    0.397     0.291    0.079    0.103    0.281    0.503    0.161
    0.480     0.329    0.194    0.166    0.186    0.490    0.160
    0.376     0.295    0.160    0.151    0.160    0.233    0.161
    0.350     0.238    0.154    0.172    0.161    0.163    0.176
    0.226     0.219    0.109    0.139    0.214    0.168    0.192
    0.428     0.258    0.065    0.220    0.166    0.600    0.165
    0.155     0.241    0.159    0.129    0.231    0.185    0.158
    0.450     0.386    0.169    0.158    0.159    0.362    0.106
    0.259     0.179    0.073    0.107    0.201    0.256    0.161
    0.060     0.220    0.196    0.275    0.158    0.339    0.301
    0.319     0.224    0.124    0.132    0.153    0.261    0.108
    0.473     0.350    0.075    0.195    0.099    0.437    0.183
    0.246     0.169    0.135    0.129    0.265    0.187    0.150
    0.251     0.155    0.140    0.115    0.167    0.160    0.122
    0.505     0.329    0.116    0.161    0.156    0.651    0.142
    0.303     0.330    0.105    0.132    0.221    0.077    0.178
    0.523     0.413    0.203    0.239    0.176    0.351    0.240
    0.266     0.194    0.075    0.085    0.158    0.295    0.151
    0.494     0.415    0.304    0.299    0.125    0.129    0.227
    0.237     0.268    0.123    0.109    0.177    0.178    0.144
    0.245     0.185    0.197    0.188    0.247    0.144    0.136
    0.358     0.277    0.120    0.124    0.180    0.283    0.239
    0.368     0.241    0.158    0.204    0.184    0.164    0.191
    0.311     0.247    0.198    0.162    0.242    0.309    0.137
    0.462     0.304    0.151    0.203    0.228    0.428    0.208
    0.282     0.279    0.063    0.115    0.173    0.325    0.248
    0.333     0.334    0.169    0.193    0.211    0.204    0.197
    0.527     0.346    0.106    0.132    0.176    0.687    0.161
    0.129     0.188    0.175    0.166    0.239    0.248    0.145
    0.334     0.246    0.170    0.200    0.140    0.474    0.215
    0.347     0.257    0.085    0.124    0.330    0.281    0.177
    0.169     0.198    0.169    0.156    0.321    0.213    0.141

--- Medianwerte ---
PCT_OREB: 0.324
PCT_DREB: 0.257
PCT_AST: 0.143
PCT_TOV: 0.154
PCT_STL: 0.176
PCT_BLK: 0.308
PCT_PTS: 0.174
